,heartrate,steps_window_12
2024-12-22 00:20:00,-1.6723239813934443,1.6914578245250513
2024-12-22 00:30:00,-1.52332337524885,1.5739921515312716
2024-12-22 00:40:00,-1.3681324417894414,1.3785898267659618
2024-12-22 01:30:00,-1.3176047703964628,1.3414437607237757
2024-12-22 01:40:00,-1.381078481264046,1.2972489533086253
2024-12-22 01:50:00,-1.4635405656246805,1.2785057092032426
2024-12-22 03:00:00,-1.63680382400377,1.2745407921809497
2024-12-22 03:10:00,-1.6030279408810522,1.1237537963331554
2024-12-22 04:20:00,-1.6437754430781002,1.105040589477941
2024-12-22 04:30:00,-1.5486690311590363,1.0640397429974153
2024-12-22 04:40:00,-1.5280074967715314,1.0514240979264837
2024-12-22 09:10:00,-1.5691776617915767,1.0570310512913423
2024-12-22 09:20:00,-1.6116987679373613,1.0644602644997792
2024-12-22 09:30:00,-1.5193793950686494,0.9814773546998775
2024-12-22 09:40:00,-1.2935949224592436,0.8468824391764557
2024-12-22 09:50:00,-1.1029840952975412,0.7558815860648065
2024-12-22 10:00:00,-0.9552958608293244,0.5477795119280924
2024-12-22 13:10:00,-0.8043521523177068,0.2953264366753508
2024-12-22 13:20:00,-0.7128667940234849,0.23308925432542452
2024-12-22 16:30:00,-0.6627913611803639,0.18010354502751427
2024-12-22 16:40:00,-0.49419710510326414,0.053106051313475115
2024-12-22 16:50:00,-0.4229801553202939,0.00432555703920861
2024-12-22 17:00:00,-0.46070816954589094,-8.99187356174177e-05
2024-12-22 18:20:00,-0.492415074540237,-0.0032438300033502945
2024-12-22 18:30:00,-0.5596585812890316,0.029977368683434716
2024-12-22 18:40:00,-0.5386840639684042,0.0621893157645455
2024-12-22 18:50:00,-0.6212747785127813,0.10272758859247048
2024-12-22 19:00:00,-0.7586607090384268,0.14646182483836467
2024-12-22 19:10:00,-0.8107240875826807,0.15038669219376546
2024-12-22 19:20:00,-0.9322036435481773,0.16782431715847498
2024-12-22 19:30:00,-1.1071556998575836,0.21010074552950544
2024-12-22 19:40:00,-1.1650616083464294,0.22636091028759447
2024-12-22 20:40:00,-1.142695335257131,0.22636091028759447
2024-12-22 20:50:00,-1.1182793228550687,0.22636091028759447
2024-12-22 21:00:00,-1.0884737017894335,0.22636091028759447
2024-12-22 21:10:00,-1.051361362938298,0.22636091028759447
2024-12-22 23:00:00,-1.036169177443682,0.22636091028759447
2024-12-23 01:10:00,-1.0442475617939935,0.22636091028759447
2024-12-23 01:20:00,-1.0790328436606367,0.22636091028759447
2024-12-23 01:30:00,-1.1067043243829773,0.22636091028759447
2024-12-23 02:40:00,-1.1067043243829773,0.22636091028759447
2024-12-23 02:50:00,-1.108512917894242,0.22636091028759447
2024-12-23 03:40:00,-1.1067043243829773,0.22636091028759447
2024-12-23 03:50:00,-1.0971795307560879,0.21338481821463665
2024-12-23 04:00:00,-1.0962959501938294,0.19608336211736005
2024-12-23 04:40:00,-1.136036778281334,0.19608336211736005
2024-12-23 04:50:00,-1.1087346455639047,0.17690758160954506
2024-12-23 05:20:00,-1.014973433045153,0.1279588787343326
2024-12-23 05:30:00,-0.8494141530742724,-0.07641457141475005
2024-12-23 05:40:00,-0.6845269051997488,-0.2639671614692581
2024-12-23 08:40:00,-0.6010795791221403,-0.2963473171513145
2024-12-23 10:00:00,-0.578258039921199,-0.2114019736737121
2024-12-23 10:20:00,-0.5007269816466309,-0.26438768297162235
2024-12-23 10:30:00,-0.4253400860271208,-0.318634956776626
2024-12-23 11:10:00,-0.4470432081622875,-0.318634956776626
2024-12-23 11:20:00,-0.398193958658051,-0.3354558168712007
2024-12-23 11:50:00,-0.36065559555759447,-0.3421841609090304
2024-12-23 13:00:00,-0.23671871087571056,-0.3678359725532571
2024-12-23 13:10:00,0.009153017828259741,-0.4879649483953446
2024-12-23 13:20:00,0.19453645826250335,-0.5616963851432302
2024-12-23 13:30:00,0.2342488177484447,-0.6047998391355779
